,Fe,Mn,Ni,Co,Cr,del_G,del_H,Cp_FCC,VASP-PAW-GGA LSE_Avg,VASP-PAW-GGA LSE_Var,SGTE LSE_Avg,SGTE LSE_Var,Allen EN_Avg,Allen EN_Var,Pauling EN_Avg,Pauling EN_Var,Density_Avg,Density_Var,Atomic Weight_Avg,Atomic Weight_Var,Valence e_Avg,Valence e_Var,IE_Avg,IE_Var,Melting Point_Avg,Melting Point_Var,Specific Heat_Avg,Specific Heat_Var,Metallic Radius_Avg,Metallic Radius_Var,Shear Modulus_Avg,Shear Modulus_Var,Total Electrons_Avg,Total Electrons_Var,Atomic Planar Density_Avg,Atomic Planar Density_Var,C_11_Avg,C_11_Var,C_12_Avg,C_12_Var,C'_Avg,C'_Var,Heat of fusion_Avg,Heat of fusion_Var
30,40,20,0,40,0,-1058.155429701015,-399.92194850541,25.472274,-450.19999999999993,4457.060940799441,-126.80000000000001,1255.3468126378464,180.60000000000002,1787.9400308735192,179.39999999999998,1776.0604330934234,817.8,8096.222074399886,5689.880000000001,56329.81454601676,820.0,8118.003449124668,75262.0,745093.8209878001,146240.0,1447776.417089324,2522.0,24967.80061999855,12580.0,124542.00022482376,7840.0,77616.0055658625,2620.0,25938.00107949724,1832.6635999999999,18143.369770219553,19260.0,190681.13503962578,21860.0,216414.36712935675,-1300.0,12907.618680453805,1464.0,14493.605762542322
31,40,25,0,35,0,-957.2051273254783,-298.5492058372192,25.605396,-455.29999999999995,4507.547740179797,-129.65,1283.5599637336777,180.15,1783.4850331583946,177.75,1759.7255034521718,810.65,8025.437090246238,5669.905000000001,56132.06200638514,810.0,8019.003678762094,75046.5,742960.3747296017,144995.0,1435450.9949785816,2529.5,25042.050705762897,12590.0,124641.00023667974,7840.0,77616.0055658625,2610.0,25839.001141685025,1829.7638,18114.661757168025,19780.0,195829.334625842,22110.0,218889.33802266387,-1165.0,11576.440515115171,1449.0,14345.105681032817
32,40,30,0,30,0,-842.9856640827438,-184.7909385639487,25.794018,-460.4,4558.0345534012795,-132.5,1311.773132443259,179.7,1779.0300343164529,176.1,1743.3905595132721,803.5,7954.652042107185,5649.93,55934.3093951395,800.0,7920.003787877882,74831.0,740826.927866084,143750.0,1423125.5633253166,2537.0,25116.300768624347,12600.0,124740.00024050025,7840.0,77616.0055658625,2600.0,25740.00116550114,1826.864,18085.95373948918,20300.0,200977.5105328952,22360.0,221364.30674343143,-1030.0,10246.630177770641,1434.0,14196.605439329502
33,40,35,0,25,0,-714.9595728116365,-68.25771367763991,26.336389,-465.5,4608.521380008994,-135.35000000000002,1339.9863176540275,179.25,1774.5750343392076,174.45,1727.0556008710314,796.35,7883.866928259255,5629.955,55736.55671151757,790.0,7821.003771895267,74615.5,738693.4803920026,142505.0,1410800.121879425,2544.5,25190.550808785425,12610.0,124839.00023630436,7840.0,77616.0055658625,2590.0,25641.001150501124,1823.9642,18057.24571716095,20820.0,206125.66453501125,22610.0,223839.2733637241,-895.0,8918.799526842164,1419.0,14048.105032352229
34,40,40,0,20,0,-614.9629013172489,-178.1501956918605,27.728614,-470.59999999999997,4659.008219567765,-138.20000000000002,1368.1995183451866,178.8,1770.1200332180865,172.79999999999998,1710.720627104262,789.2,7813.081746916514,5609.98,55538.80395474627,780.0,7722.003626002775,74400.0,736560.032302052,141260.0,1398474.6703819844,2552.0,25264.800826446266,12620.0,124938.00022411117,7840.0,77616.0055658625,2580.0,25542.00109623363,1821.0644,18028.537690161116,21340.0,211273.7982334771,22860.0,226314.23795245407,-760.0,7593.987095064094,1404.0,13899.60445480374
35,45,20,0,35,0,-1020.388118864068,-315.3579953377957,25.488868,-479.04999999999995,4742.67245785538,-135.85000000000002,1344.9401728329779,180.4,1785.9600292279779,179.15,1773.5854249231977,812.8499999999999,8047.216956780771,5674.4400000000005,56176.9583969969,815.0,8068.5032688845085,75272.5,745197.7711085494,146455.0,1449904.9243398686,2523.5,24982.650602968453,12585.0,124591.5002116918,7870.0,77913.00571791593,2615.0,25888.501018792107,1831.19645,18128.84497771779,17795.0,176178.57811039343,22305.0,220819.8531042895,-2255.0,22347.05114774654,1452.0,14374.805459553183
36,45,25,0,30,0,-896.9320117336101,-194.7231671973841,25.700659,-484.15,4793.1591776718615,-138.70000000000002,1373.1532904231779,179.95,1781.5050310060872,177.5,1757.2504929576774,805.6999999999999,7976.431927309352,5654.465,55979.20580163624,805.0,7969.503434970086,75057.0,743064.3248806257,145210.0,1437579.5040379507,2531.0,25056.900684242657,12595.0,124690.5002195436,7870.0,77913.00571791593,2605.0,25789.501061478488,1828.29665,18100.136962309436,18315.0,181326.80889763654,22555.0,223294.81974510738,-2120.0,21012.58551440065,1437.0,14226.305247674112
37,45,30,0,25,0,-754.5195752905129,-39.38123340944912,25.704472,-489.25,4843.645912171945,-141.55,1401.3664258501415,179.5,1777.050031653583,175.85000000000002,1740.9155466305654,798.55,7905.646832644372,5634.49,55781.453134070194,795.0,7870.503478177238,74841.5,740930.8780476422,143965.0,1425254.074239046,2538.5,25131.150742654027,12605.0,124789.50021936942,7870.0,77913.00571791593,2595.0,25690.501065568962,1825.39685,18071.428942262562,18835.0,186475.0124413456,22805.0,225769.78434901335,-1985.0,19678.38674790187,1422.0,14077.804871498965
38,45,35,0,20,0,-623.1367576451139,-47.30028612938486,27.942799,-494.34999999999997,4894.132660901214,-144.4,1429.579578057829,179.05,1772.5950311619404,174.20000000000002,1724.5805855337699,791.4000000000001,7834.861671018833,5614.515,55583.700393528095,785.0,7771.503393809978,74626.0,738797.4306043573,142720.0,1412928.6346946189,2546.0,25205.400778404615,12615.0,124888.50021118838,7870.0,77913.00571791593,2585.0,25591.501030615615,1822.4970500000002,18042.72091755502,19355.0,191623.19093731843,23055.0,228244.74698226902,-1850.0,18344.5130761217,1407.0,13929.304325773057
39,50,20,0,30,0,-940.6214536307143,-190.0810081660265,25.539695,-507.9,5028.282715301517,-144.9,1434.5331669222571,180.2,1783.9800273545663,178.9,1771.110416377251,807.9,7998.211807085381,5659.0,56024.102204611896,810.0,8019.003055243214,75283.0,745301.7212277858,146670.0,1452033.4312508097,2525.0,24997.5005850585,12590.0,124641.00019656454,7900.0,78210.00575373972,2610.0,25839.00094817909,1829.7293,18114.32018401569,16330.0,161676.0576275906,22750.0,225225.33083558784,-3210.0,31795.15167442986,1440.0,14256.005050504156
